image_id,identity,path,date,orientation,species,split,dataset
0,LynxID2025_lynx_37,images/LynxID2025/database/000f9ee1aad063a4485379ec06741251344f57ba0e8e6546dfc4c3b83f28c0db.jpg,,right,lynx,database,LynxID2025
1,LynxID2025_lynx_37,images/LynxID2025/database/0020edb6689e9f78462394d5a6447112e66ac603f30abaacbd0e9787361acc10.jpg,,left,lynx,database,LynxID2025
2,LynxID2025_lynx_49,images/LynxID2025/database/003152e4145b5b6940091d5c1290d023ed3ad81400482b97bd2ea4ba35dbbd6b.jpg,,left,lynx,database,LynxID2025
3,,images/LynxID2025/query/003b89301c7b9f6d18f722082617f65f6d5986c9032b660cc02a0735d5bdd0f7.jpg,,back,lynx,query,LynxID2025
4,LynxID2025_lynx_13,images/LynxID2025/database/003c3f82011e9c3f849f945a9396b7bb2d3201ef994ce18b2994e44813f6f589.jpg,,right,lynx,database,LynxID2025
5,,images/LynxID2025/query/004d500301a70ec9b5ba08de8ccc6703f08150721af1126e17607ac9218f043b.jpg,,left,lynx,query,LynxID2025
6,LynxID2025_lynx_07,images/LynxID2025/database/0051adb5bd1b63867b9e4663bcffb0d1d07e20a4e81f96c8e8dd7d5f41155c38.jpg,,left,lynx,database,LynxID2025
7,LynxID2025_lynx_95,images/LynxID2025/database/006488cbcb680a5a730561fceff14f611a5b9f369abe74e7a5e3a6052badcce1.jpg,,left,lynx,database,LynxID2025
8,LynxID2025_lynx_49,images/LynxID2025/database/006f0f547709ef05ce8da43a7bff3ae51c578cf18f643f3a3b4ee65a017d7f54.jpg,,front,lynx,database,LynxID2025
9,LynxID2025_lynx_32,images/LynxID2025/database/007bac8eb69fe54b72caf2e2567ae7916e27852eb11499adbba08bfe06182561.jpg,,right,lynx,database,LynxID2025
10,LynxID2025_lynx_60,images/LynxID2025/database/00878abb9d6046cc7397f41b9628802c265d1baf8e0dbbc3f8c5fb3f3d345827.jpg,,right,lynx,database,LynxID2025
11,LynxID2025_lynx_24,images/LynxID2025/database/008fdf4c5b0d8a2cf2f44b67ebc9f67cac44436e8623855056d14977b2cea45a.jpg,,front,lynx,database,LynxID2025
12,,images/LynxID2025/query/00d97c67f0cb0d13a3a449fc4c0ad7d593928d20dbf27b0502fd0f239a3f8548.jpg,,left,lynx,query,LynxID2025
13,,images/LynxID2025/query/00dcbabf03826937bcf6a0a5bedd990ccf716f704f647d454e1b2ab6915334f7.jpg,,right,lynx,query,LynxID2025
14,LynxID2025_lynx_43,images/LynxID2025/database/00ddd1c5a4091065af8e41b375a87589ff3d95c9035867448bdbeaa17cb4e9f4.jpg,,left,lynx,database,LynxID2025
15,LynxID2025_lynx_54,images/LynxID2025/database/00ef47176c761657495d00ae0cac1521ab926a705c8618e76adfc3a187c94597.jpg,,right,lynx,database,LynxID2025
16,LynxID2025_lynx_05,images/LynxID2025/database/00f0a6b955f7a5f62feb35251ebf1b86110658dc96ba963490d1baeb144830af.jpg,,unknown,lynx,database,LynxID2025
17,LynxID2025_lynx_16,images/LynxID2025/database/00fcaa4b1643c91594f348b7ccaf67795befcd534582e1f0c848ca8a0e4ea3f6.jpg,,left,lynx,database,LynxID2025
